Year,Metric,DBN,cat,lr,rf,xgb
1,average_precision,0.050 (0.050-0.050),0.070 (0.070-0.080),0.060 (0.050-0.060),0.070 (0.060-0.070),0.080 (0.070-0.080)
1,roc_auc,0.680 (0.670-0.680),0.740 (0.730-0.750),0.710 (0.700-0.720),0.730 (0.730-0.740),0.750 (0.740-0.760)
2,average_precision,0.080 (0.070-0.080),0.100 (0.090-0.110),0.070 (0.070-0.080),0.090 (0.090-0.100),0.100 (0.100-0.110)
2,roc_auc,0.710 (0.710-0.720),0.750 (0.740-0.760),0.740 (0.730-0.750),0.760 (0.750-0.770),0.760 (0.750-0.760)
3,average_precision,0.170 (0.160-0.170),0.140 (0.130-0.150),0.090 (0.090-0.100),0.120 (0.120-0.130),0.150 (0.140-0.150)
3,roc_auc,0.790 (0.780-0.790),0.770 (0.770-0.780),0.770 (0.770-0.780),0.780 (0.780-0.790),0.780 (0.770-0.780)
4,average_precision,0.210 (0.200-0.220),0.150 (0.140-0.160),0.110 (0.100-0.110),0.140 (0.130-0.150),0.160 (0.150-0.170)
4,roc_auc,0.810 (0.800-0.810),0.790 (0.780-0.790),0.790 (0.780-0.790),0.790 (0.780-0.800),0.790 (0.790-0.800)
5,average_precision,0.240 (0.240-0.250),0.160 (0.150-0.170),0.110 (0.110-0.120),0.140 (0.130-0.150),0.170 (0.160-0.180)
5,roc_auc,0.830 (0.830-0.840),0.790 (0.780-0.800),0.800 (0.800-0.810),0.800 (0.800-0.810),0.800 (0.800-0.810)
6,average_precision,0.300 (0.290-0.310),0.180 (0.170-0.190),0.130 (0.130-0.140),0.150 (0.140-0.160),0.200 (0.190-0.210)
6,roc_auc,0.840 (0.840-0.850),0.800 (0.800-0.810),0.820 (0.820-0.830),0.810 (0.800-0.810),0.820 (0.810-0.820)
