Year,Metric,DBN,cat,lr,rf,xgb
1,roc_auc,0.68 (0.67-0.68),0.74 (0.73-0.75),0.71 (0.70-0.72),0.73 (0.73-0.74),0.75 (0.74-0.76)
1,average_precision,0.05 (0.05-0.05),0.07 (0.07-0.08),0.06 (0.05-0.06),0.07 (0.06-0.07),0.08 (0.07-0.08)
2,roc_auc,0.71 (0.71-0.72),0.75 (0.74-0.76),0.74 (0.73-0.75),0.76 (0.75-0.77),0.76 (0.75-0.76)
2,average_precision,0.08 (0.07-0.08),0.10 (0.09-0.11),0.07 (0.07-0.08),0.09 (0.09-0.10),0.10 (0.10-0.11)
3,roc_auc,0.79 (0.78-0.79),0.77 (0.77-0.78),0.77 (0.77-0.78),0.78 (0.78-0.79),0.78 (0.77-0.78)
3,average_precision,0.17 (0.16-0.17),0.14 (0.13-0.15),0.09 (0.09-0.10),0.12 (0.12-0.13),0.15 (0.14-0.15)
4,roc_auc,0.81 (0.80-0.81),0.79 (0.78-0.79),0.79 (0.78-0.79),0.79 (0.78-0.80),0.79 (0.79-0.80)
4,average_precision,0.21 (0.20-0.22),0.15 (0.14-0.16),0.11 (0.10-0.11),0.14 (0.13-0.15),0.16 (0.15-0.17)
5,roc_auc,0.83 (0.83-0.84),0.79 (0.78-0.80),0.80 (0.80-0.81),0.80 (0.80-0.81),0.80 (0.80-0.81)
5,average_precision,0.24 (0.24-0.25),0.16 (0.15-0.17),0.11 (0.11-0.12),0.14 (0.13-0.15),0.17 (0.16-0.18)
6,roc_auc,0.84 (0.84-0.85),0.80 (0.80-0.81),0.82 (0.82-0.83),0.81 (0.80-0.81),0.82 (0.81-0.82)
6,average_precision,0.30 (0.29-0.31),0.18 (0.17-0.19),0.13 (0.13-0.14),0.15 (0.14-0.16),0.20 (0.19-0.21)
